SCI,Assignment ,Short Description,Role,Work Effort,Expander >15 hrs,Work Type,EHR/s Impacted,Status,Phase,System Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,,,,Role Multiplier,Work Type Weight,Phase Weight,Base Hrs/Wk,Active Hrs/Wk,Active,Missing Data
Jason,Epic Gold: Behavioral health,"Facilitate BH CAT group meetings and activities (prep and full group meetings, agenda/minutes, group emails and materials, Orion updates, etc.)",Owner,L - 5-10 hrs/wk,,Epic Gold,Epic,In Progress,Design,,,,,,,,,1,1,1,7.5,7.5,Yes,✓ Complete
Jason,Epic Gold: Peri-op,Assist as needed with facilitation of peri-op related CAT group meetings and activities (prep and full group meetings),Secondary,M - 2-5 hrs/wk,,Epic Gold,Epic,In Progress,Design,,,,,,,,,0.5,1,1,3.5,1.75,Yes,✓ Complete
Jason,"Suicide risk system policy EHR alignment (ALMs 4075, 4254; Epic FETR0081819, FETR0110209)",Changes under FETR0081819 in place as of 9/9/25; new optimization (FETR0110209) under way to correct issues/deficiencies associated with -81819 ,Secondary,S - 1-2 hrs/wk,,Policy/Guidelines,Epic,In Progress,Discovery/Define,,System VP BH Paul Rains,Acute Institute &  Cardiology,,,,,,0.5,0.5,0.3,1.5,0.1125,Yes,✓ Complete
Jason,Harm to others system policy EHR alignment (DMND0007990),"Working with BH leadership to answer outstanding EHR-related questions prior to placing EHR change request ticket (to be followed by eventual design sessions/coordination, approval, testing, implementation)",Owner,M - 2-5 hrs/wk,,Policy/Guidelines,All,In Progress,Discovery/Define,None yet,System VP BH Paul Rains,Acute Institute &  Cardiology,,,,,,1,0.5,0.3,3.5,0.525,Yes,✓ Complete
Jason,"ED provider note optimization
(FETR0110153)
(FETR0110155)","FETR0110153: Awaiting confirmation from market CI validator that non-prod validation is complete
FETR0110155: Non-prod validation complete, tipsheet done, awaiting release date",Owner,S - 1-2 hrs/wk,,System Initiative,Cerner,In Progress,Did we Deliver,"FETR0110153: None yet
FETR0110155: None yet but pending",,,,,,,,1,1,0.25,1.5,0.375,Yes,✓ Complete
Jason,"BH: Migration from Depart process to discharge workflow Mpage
(FETR0110162)","Begun in 2021; now in final non-prod validation. Concerns about provider build elements; awaiting return of Owner builder (unexpected leave, to be back in office sometime during week of 9/22) to address/fix discrepancies before finalizing test script/providing to CI validators",Owner,M - 2-5 hrs/wk,,System Initiative,Cerner,In Progress,Design,,,,,,,,,1,1,1,3.5,3.5,Yes,✓ Complete
Jason,"DH Telemedicine Network: New BH consult order (pilot)
(FETR0100570)","Begun in 2021; released in August 2025 (St. Roses in NV). Site clinicians opposed to change (per site reports, does not support workflow). Discussed with original ticket proponents including John MacKenzie and Denise Piminte) and market CI manager Lois Mottley Harris; group agreed this change should be pulled out of ECISA. Discussions/possible next steps with group and Pam Shadle/Stephanie Wilder continue.",Owner,S - 1-2 hrs/wk,,System Initiative,Cerner,In Progress,Did we Deliver,2025-08-01 0:00:00,,,,,,,,1,1,0.25,1.5,0.375,Yes,✓ Complete
Jason,"Revise cardiac monitoring order to exclude ED clinicians from completing tele advisor (P0687 domain)
(FETR0110167)","Final non-prod validation confirmed complete week of 9/22/25; tipsheet complete, awaiting release date",Owner,S - 1-2 hrs/wk,,System Initiative,Cerner,In Progress,Did we Deliver,,,,,,,,,1,1,0.25,1.5,0.375,Yes,✓ Complete
Jason,"Divisional request: ALM #2921 (Owner SCI)
(FETR0110086)",Update LTC psychotropic med side effects and behavior documentation. Released 8/26/25 but issues found. Discussed with requesting CI in conjunction with build analysts; potential fixes under review,Support,XS - Less than 1 hr/wk,,General Support,Cerner,In Progress,Did we Deliver,2025-08-26 0:00:00,,,,,,,,0.25,1,0.25,0.5,0.03125,Yes,✓ Complete
Jason,Gilead ED disease screening national standard (System Project # PRJ0137250),Assistance with System Project testing/discussions as needed,Support,XS - Less than 1 hr/wk,,General Support,Cerner,In Progress,Design,,,,,,,,,0.25,1,1,0.5,0.125,Yes,✓ Complete
Jason,ED design approval group (ED DAG) facilitation,"Regular planning and co-facilitation of monthly meeting, including agenda and minutes prep, meeting issue followups, and other meeting activities as needed",Owner,S - 1-2 hrs/wk,,System Initiative,Cerner,In Progress,Discovery/Define,,,,,,,,,1,1,0.3,1.5,0.45,Yes,✓ Complete
Jason,ESCC EHR workgroup,"Regular planning and co-facilitation of monthly meeting, including agenda and minutes prep and related meeting activities",Owner,XS - Less than 1 hr/wk,,System Initiative,Cerner,In Progress,Discovery/Define,,,,,,,,,1,1,0.3,0.5,0.15,Yes,✓ Complete
Jason,New system ED request (7-day pt return),Based on CSH organization guideline: Identify acute patients returning/readmitted to hospital in 7 days ,Owner,S - 1-2 hrs/wk,,Policy/Guidelines,Cerner,In Progress,Discovery/Define,,"Kari Evans, acute care coordination senior proj. mgr",,,,,,,1,0.5,0.3,1.5,0.225,Yes,✓ Complete
