SCI,Assignment ,Short Description,Role,Work Effort,Expander >15 hrs,Work Type,EHR/s Impacted,Status,Phase,System Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,,,,Role Multiplier,Work Type Weight,Phase Weight,Base Hrs/Wk,Active Hrs/Wk,Active,Missing Data
Marisa,Gilead FOCUS System Project,"Was placed on the System Project as Trudy's backup to learn more about clinical decision support/rules, acting in a supporting role. ",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,ICU Liberation,System wide guideline updates to liberation/ABCEF bundle. Will touch all EHRs and will require significant EHR changes ,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Critical Care Titrations ,"System wide changes to block charting for titration medications that will touch all EHRs. Nursing piece is minimal, pharmacy build is substantial.",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,CommonSpirit Critical Care Council,Attend monthly C5 council call. Will occasionally be on the agenda to present EHR related updates,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Patient Belongings & Valuables System Policy Task Force,"System wide policy- was originator of ticket at local level, Tiffany took over from a System level.",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Super User Workgroup,System wide workgroup lead to Design super user program. Work has concluded as of Sept 2024,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Readmission System Project,Oracle readmission prevention System Project being implemented in CAREB & ECISA in March 2025. Time consuming- 3-5 meetings a week,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Epic Gold Wound Care,"Became Karen's backup when DeLana transitioned, have not actually had any assignments or been involved much in this work",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Cerner Code Upgrade,"Review of upgrade notes pertaining to care coordination, nursing, mpages",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Depression Quality Mapping,"Supporting the System ambulatory quality team. Receive several emails a week, mostly looping others in to assist (Epic builders, analysts, etc.). May be best to transition to ambulatory team/ DeLana's new team?",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,National Nurse Residency Program Mentor,Meet monthly with a new grad nurse as part of the National Nurse Residency Program to provide mentorship and guidance,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,System Project - Zoom/Epic/Cerner Integration,Removed by Diedre from the System Project and resourcing reassigned to members of Cyndi Meldon's team,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,CAT Inpatient Nursing - Gold ,Secondary SCI leading the CAT Inpatient Nursing building block reviews,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,CAT Care Coordination - Gold ,SCI leading the CAT Care Coordination building block reviews ,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,VIVVA Research Study,Vasopressor Infusion and Various Vascular Access- retrospective data collection from 4 sites,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Nova Note Mini System Project,Working on reviewing Epic's recommendations for CI and enhance how we participate in Nova Note review,,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
Marisa,Alaris Pumps Standardization System Project,"Weekly meeting for pharmacy CIs, pharmacy operations, and IT to discuss what is needed from the system for the Alaris pump one library as, and how this matches up with the Epic Gold System Project as they are starting to replace all pumps to BD alaris. ",,,,,,,,,,,,,,,,0,0,0,0,0,No,Needs Baseline Information
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
,,,,,,,,,,,,,,,,,,0,0,0,0,0,No,N/A
