SCI,Assignment ,Short Description,Role,Work Effort,Work Type,EHR/s Impacted,Status,Phase,Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details
Lisa,CSH SDOH Content and protocols,Marty is primary on SDOH content; Marty and I will work together on safety interventions for a positive response,Secondary,S - 1-2 hrs/wk,System Initiative,All,In Progress,Discovery/Define,,SDOH Taskforce/Tracy Sklar,Nursing,,
Lisa,Duplicate fields review and optimization for SDOH/Abuse Neglect Violence Screening,assessment and clean up ,Primary,XS - Less than 1 hr/wk,System Initiative,All,In Progress,Discovery/Define,,Holly Gibbs/SDOH Taskforce,Nursing,,
Lisa,Candida Auris Screening (CHI) optimization,Ready for deployment,Primary,XS - Less than 1 hr/wk,System Initiative,Cerner,In Progress,Deploy,"CHI: Oct 29
",Rebecca Leach IP,Nursing,,
Lisa,Candida Auris Screening (DH) optimization,In NON prod build,Primary,XS - Less than 1 hr/wk,System Initiative,Cerner,In Progress,Develop,"DH: TBD
",Rebecca Leach IP,,,
Lisa,Candida Auris Screening  NON hosted processes/templates,Handoff to NON IT supported sites completed on 10.2.25,Primary,M - 2-5 hrs/wk,System Initiative,All,Complete,,,,,,
Lisa,System Policy: Moderate and Conscious Sedation Cerner,Primary for CSH IT supported Cerner domains,Primary,S - 1-2 hrs/wk,Policy/ Guideline,All,In Progress,Discovery/Define,,Allison Mason/Tammie Kear,Nursing,,
Lisa,Infection Prevention Council,SCI consultant,Support,XS - Less than 1 hr/wk,General Support,All,In Progress,,,,,,
Lisa,Outpatient in a Bed (OIB),"""System Care Coordination Driven Project to update ALL EHR's with a patient status order for """"Outpatient in a Bed (OIB)"""".  Current state assessment in progress to determine which sites may have an existing order and who will need one.  Discussion also in place to remove """"Extended Recovery""""
""

Waiting for Sponsor to provide additional information requested to start the intake process

No longer assigned to this effort/initiative",Primary,XS - Less than 1 hr/wk,System Initiative,All,Complete,Discovery/Define,,Gail Moxley,,,
Lisa,ALM 3572 Bladder Mgmt Procotol Orderset Updates,updating approximately 115 ordersets in CAREB/ECISA (230 total),Primary,XS - Less than 1 hr/wk,General Support,Cerner,In Progress,Design,,IP,Acute Institute &  Cardiology,,
Lisa,Theradoc,Not needed anymore - acted as support for Trudy ,Support,XS - Less than 1 hr/wk,System Initiative,Cerner,Complete,Did We Deliver,,IP,Other,,
Lisa,PRJ0163982 DHMG - Natera Genetic Testing Interface ,SCI Consultant to an AZ Market project,Support,XS - Less than 1 hr/wk,Project,Cerner,In Progress,Discovery/Define,,,Lab,,
Lisa,UKM/UGM/Kronos Enterprise Roll out,"WFM Project 2025
IT Enterprise Transition to Kronos Suite (Replacing Clairvia and Teams Scheduling Tools)

On April 25, 2025, a meeting was held with Michelle Gunsher and Boomie to discuss the Clairvia transition to Pro WFM.

Direction was provided to prioritize the Care Value System Team—the primary user group of Clairvia—for Wave 1 of the transition.

A demo was recommended for this group to facilitate engagement and gather feedback or concerns.

Michelle was also advised to engage Regional/Market Clinical Informatics Leaders to identify local Change Champions to support the transition.

Follow-up meeting held with project managers on May 28, 2025 to continue planning and coordination efforts.",Support,S - 1-2 hrs/wk,General Support,All,On Hold,,,,Other,,
Lisa,One ERP Advanced Scheduling/UKG Clinical Extensions - Epic Acuity ,,Support,S - 1-2 hrs/wk,General Support,All,In Progress,,,,,,
Lisa,DH Nursing Optimization Project,SCI Consultant ,Support,XS - Less than 1 hr/wk,Project,Cerner,In Progress,,,,Nursing,,
Lisa,System Initiative Process Review Team,,Support,XS - Less than 1 hr/wk,General Support,All,In Progress,,,,,,
Lisa,Readmission Project,"""Project ALM 4343
Oracle readmission prevention project being implemented in CAREB & ECISA in March 2025. Time consuming- 3-5 meetings a week. 
Validation Dates: 2 weeks per domain

Week of Feb 17 CAREB (ACTUALLY MOCKB)

Week of March 3 ECISA (ACTUALLY MOCKA)

Soft Activation: 

Week of Mar 17 (ECISA and CAREB the same week)

Go-Live: 

Week of April 22 CAREB and ECISA 

""

Supporting Ashley while she is out on PTO after Go live - participated in soft go live testing and project meetings for awareness",Support,XS - Less than 1 hr/wk,Project,Cerner,Complete,Did We Deliver,Aprill 22 CAREB/ECISA,"John Morelli, Erine Erickson, Boomie Harvey, Kyla Caffarel",,,
Lisa,ALM to SPM Project - UAT testing and Train the Trainer,Participated in UAT testing and Train the Trainer for SCI team,Support,XS - Less than 1 hr/wk,Project,Cerner,Complete,Did We Deliver,,,,,
Lisa,SPM SCI Competency Support,,Support,XS - Less than 1 hr/wk,General Support,All,In Progress,,,,,,
