SCI,Assignment ,Short Description,Role,Work Effort,,Work Type,EHR/s Impacted,Status,Phase,System Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,,,,Role Multiplier,Work Type Weight,Phase Weight,Base Hrs/Wk,Active Hrs/Wk,Active,Missing Data
Van,Epic Gold: Charges,"Populate GOLD erx with billing info (hcpcs, waste ind, EAP) in collab with IT",Owner,XL - More than 10 hrs/wk,,Epic Gold,Epic,In Progress,Design,Wave 3- 5.2.2026,,Pharmacy & Oncology,2025-05-18 0:00:00,,,,,1,1,1,15,15,Yes,✓ Complete
Van,Epic Gold: Willow Inpatient Solution Group,SCI Consultant including design/ build/ validation/ system standards,Support,L - 5-10 hrs/wk,,Epic Gold,Epic,In Progress,Design,,,Pharmacy & Oncology,Ongoing,,,,,0.25,1,1,7.5,1.875,Yes,✓ Complete
Van,Epic Gold: Willow Ambulatory Solution Group,SCI Consultant including design/ build/ validation/ system standards,Support,XS - Less than 1 hr/wk,,Epic Gold,Epic,In Progress,Design,,,,,,,,,0.25,1,1,0.5,0.125,Yes,✓ Complete
Van,Epic Gold: Willow Specialty Solution Group,SCI Consultant including design/ build/ validation/ system standards,Support,XS - Less than 1 hr/wk,,Epic Gold,Epic,In Progress,Design,,,,,,,,,0.25,1,1,0.5,0.125,Yes,✓ Complete
Van,WAB (retail) quick tip guide,Document quick tips for willow ambulatory from lessons learned for next wave ,Co-Owner,XS - Less than 1 hr/wk,,Epic Gold,Epic,In Progress,Design,Wave 2.5 (3 retail pharmacy go live),,Pharmacy & Oncology,,,,,,1,1,1,0.5,0.5,Yes,✓ Complete
Van,Epic South: Hazardous Drugs and Waste alignment,Standardization of HD drugs (table 1-3) and determine standard for waste managment,Co-Owner,XS - Less than 1 hr/wk,,General Support,Epic,In Progress,Design,Sept/ Oct for South go live.  Then wave 3,System IT and Rx,Pharmacy & Oncology,,1. Need work effort for South wave 2 build,,,,1,1,1,0.5,0.5,Yes,✓ Complete
Van,MTN charge workqueues,3 large active workqueues for cleanup (over 1000 line items) holding up to over 125 mil in revenue. Consultant with support,Owner,,,,,,,,,,,2. Update for Gold once approved by system P&T on updated guidelines,,,,1,0,0,0,0,No,⚠️ Missing Size
Van,Titrations in Critical Care (adult),Taking C5 approved titratable drip standardization and translating to EHR planning and build,Support,S - 1-2 hrs/wk,,General Support,Epic,In Progress,Did we Deliver,ongoing support as needed,,Pharmacy & Oncology,2025-04-07 0:00:00,Bulk work completed. Consult role for select issues,,,,0.25,1,0.25,1.5,0.09375,Yes,✓ Complete
Van,Vesicants and Extravasation,Optimization to align updated guildelines to EHR,Support,XS - Less than 1 hr/wk,,Policy/Guidelines,"Cerner, Epic",In Progress,Design,,Dr. Morelli,Acute Institute &  Cardiology,1905-07-16 0:00:00,Compile design doc for EHR for titration goals. waiting for organize plan on how to implement for gold and cerner,,,,0.25,0.5,1,0.5,0.0625,Yes,✓ Complete
Van,Pharmacy Market CI support,SCI consultant,Owner,XS - Less than 1 hr/wk,,Policy/Guidelines,All,In Progress,Discovery/Define,,Lauren Bulin,Nursing,2025-04-08 0:00:00,,,,,1,0.5,0.3,0.5,0.075,Yes,✓ Complete
Van,Medication Advisory Council - Cerner EHR governance,SCI consultant,Support,S - 1-2 hrs/wk,,General Support,"Cerner, Epic",In Progress,Discovery/Define,,System Rx,Pharmacy & Oncology,,,,,,0.25,1,0.3,1.5,0.1125,Yes,✓ Complete
Van,SCrPT- EHR plus other disciplines,SCI consultant,Support,XS - Less than 1 hr/wk,,General Support,Cerner,In Progress,Discovery/Define,,System Rx,Pharmacy & Oncology,,,,,,0.25,1,0.3,0.5,0.0375,Yes,✓ Complete
Van,MTN medication record cleanup that impact charges,"Mountain Market charge cleanup 
-erx fix for hcpcs and waste. fixed over 100 so far but full audit maybe needed
-erx fix for revenue code needs full evaluation and cleanup (incl advance logic)",Support,S - 1-2 hrs/wk,,General Support,"Cerner, Epic",In Progress,Discovery/Define,,System Rx,Pharmacy & Oncology,,,,,,0.25,1,0.3,1.5,0.1125,Yes,✓ Complete
Van,MTN 340B extension build ,UD modifiers build to drop appropriately on 340B sites,Co-Owner,XS - Less than 1 hr/wk,,General Support,Epic,Complete,Did we Deliver,,,Pharmacy & Oncology,2025-04-07 0:00:00,Bulk cleanup completed,,,,1,1,0.25,0.5,0,No,✓ Complete
Van,MTN Workers comp hcpcs,Workers comp not dropping the right codes resulting in revenue being held in workqueues,Co-Owner,XL - More than 10 hrs/wk,,General Support,Epic,Complete,Design,,,Pharmacy & Oncology,2025-04-08 0:00:00,Completed work. Maintenence handed to O&M teams,,,,1,1,1,15,0,No,✓ Complete
Van,Bupivacaine JZ modifier - alternative solution for billing issues,New med configuratiuon and CDM creation for an alternatve workflow to alleviate large burden of billing resources in Cerner sites,Co-Owner,XS - Less than 1 hr/wk,,General Support,Epic,Complete,Design,,,Pharmacy & Oncology,2025-04-09 0:00:00,Completed work. Maintenence handed to O&M teams,,,,1,1,1,0.5,0,No,✓ Complete
Van,TPN standardization,Standardization of guding principles for TPN build,Support,XS - Less than 1 hr/wk,,General Support,Cerner,Complete,Did we Deliver,,Pharmacy VP,Pharmacy & Oncology,,Issue from Jan 2024 CMS changes and impact to revenue.,,,,0.25,1,0.25,0.5,0,No,✓ Complete
Van,Frequency standardization,Standardzing gold freq list to that used in SOUTH. working with nursing to standardize admin times of scheduled times,Co-Owner,L - 5-10 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,standards delivered to IT build. awaiting testing for gold,,,,1,1,0.25,7.5,0,No,✓ Complete
Van,MAR flowsheet row standardization,Standardization of which flowsheet rows belong to which meds or med classes,Owner,L - 5-10 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,Spreadsheet analysis for standardization recs. Vet with nursing and RT leaders to determine system standard times,,,,1,1,0.25,7.5,0,No,✓ Complete
Van,Meds that require nurse dual sign and Rph dual verification standardization,Standardize the meds that will require dual nurse sign and dual pharmacy verification ,Owner,M - 2-5 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,Work with Karen on compiling design on meds with flowsheet rows for standardization,,,,1,1,0.25,3.5,0,No,✓ Complete
Van,"ERX analysis, standard design, validation - Order instructions",Identlfy Epic gold ERX for all meds that require order instructions,Support,S - 1-2 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,Reivew groupers with updatres,,,,0.25,1,0.25,1.5,0,No,✓ Complete
Van,"ERX analysis, standard design, validation - Formulary Status ",Standardization of formulary and restricted meds for gold,Co-Owner,L - 5-10 hrs/wk,,Epic Gold,Epic,Complete,Design,,System IT and Rx,Pharmacy & Oncology,,Spreadsheet review and design,,,,1,1,1,7.5,0,No,✓ Complete
Van,MTN policies and Epic Gold decisions tracker,Download and compile all medication related policies from MTN for review and create tracker with gold decisionos for policy alignment,Support,S - 1-2 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,"Restricted order questions, tsub, etc",,,,0.25,1,0.25,1.5,0,No,✓ Complete
Van,Cerner Code Upgrade 2024,SCI consultant,Co-Owner,M - 2-5 hrs/wk,,Epic Gold,Epic,Complete,Did we Deliver,,System IT and Rx,Pharmacy & Oncology,,Downloaded all policies from MTN for review and update with Gold decisions,,,,1,1,0.25,3.5,0,No,✓ Complete
Van,Epic Nova Notes,SCI consultant,Support,XS - Less than 1 hr/wk,,System Project,Cerner,Complete,Did we Deliver,,System IT,Pharmacy & Oncology,,,,,,0.25,1,0.25,0.5,0,No,✓ Complete
Van,ALM 2084 pregnancy alert,Rule that drives medications contraindicated in pregnancy to alert providers,Support,XS - Less than 1 hr/wk,,General Support,Epic,Complete,Did we Deliver,,System IT,Pharmacy & Oncology,,,,,,0.25,1,0.25,0.5,0,No,✓ Complete
Van,Insulin Infusion Drip - Calculator Standardization,Standardization of insulin drip to deliver to IT build team for calculator build,Owner,XS - Less than 1 hr/wk,,System Project,Cerner,Complete,Did we Deliver,,Quality Leaders,Pharmacy & Oncology,,Ticket completed but they want post implementation analysis,,,,1,1,0.25,0.5,0,,✓ Complete
Van,Heparin Drip - Calculator Standardization,Standardization of heparin drip to deliver to IT build team for calculator build,Co-Owner,XS = Less 1 hr/wk,,Epic Gold,Epic,On Hold,Design,,System IT and Rx,Pharmacy & Oncology,,Compile data. Run analytics,,,,1,1,1,0.5,0,,✓ Complete
Van,"340B billing analysis, quarterly updates, gold build",Assist with biling updates for existing markets and standardization for gold. Only quarterly ,Support,XS = Less 1 hr/wk,,Epic Gold,Epic,On Hold,Design,,System IT and Rx,Pharmacy & Oncology,,,,,,0.25,1,1,0.5,0,No,✓ Complete
Van,"ERX analysis, standard design, validation - Admin instructions",Identlfy Epic gold ERX for all meds that require admin and product specific admin instructions,Support,XS = Less 1 hr/wk,,General Support,Epic,On Hold,Design,,System IT and Rx,Pharmacy & Oncology,,Ongoing collaboration with market CI and IT build to maintain proper biling and extension for 340B,,,,0.25,1,1,0.5,0,No,✓ Complete
