SCI,Assignment ,Short Description,Role,Work Effort,Expander >15 hrs,Work Type,EHR/s Impacted,Status,Phase,System Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,,,,Role Multiplier,Work Type Weight,Phase Weight,Base Hrs/Wk,Active Hrs/Wk,Active,Missing Data
Yvette,Cerner Code Upgrade 2024,,Support,S - 1-2 hrs/wk,,System Project,Cerner,Complete,Did we Deliver,,IT,Other,,,,,,0.25,1,0.25,1.5,0,No,✓ Complete
Yvette,SCrPT Sub-group EHR support,"This includes multiple specialty sub-groups (Oncology, Cardiology, Ped/Neo, ED, ID, CC, EHR)",Support,S - 1-2 hrs/wk,,,Both Cerner/Epic,In Progress,,,Karen McConnell,Pharmacy & Oncology,,"This includes multiple specialty sub-groups (Oncology, Cardiology, Ped/Neo, ED, ID, CC)",,,,0.25,0,0,1.5,0,Yes,⚠️ Missing Work Type
Yvette,System P&T EHR support,,Co-Owner,M - 2-5 hrs/wk,,,Both Cerner/Epic,In Progress,,,Karen McConnell,Pharmacy & Oncology,,,,,,1,0,0,3.5,0,Yes,⚠️ Missing Work Type
Yvette,Medication Advisory Council - Cerner EHR governance,,Owner,M - 2-5 hrs/wk,,,Cerner,In Progress,,,Karen McConnell,Pharmacy & Oncology,,,,,,1,0,0,3.5,0,Yes,⚠️ Missing Work Type
Yvette,Titrations in Critical Care (adult),Implementation of new titration parameters and concentrations in Cerner and where possible in Epic,Co-Owner,L - 5-10 hrs/wk,,Policy/Guidelines,Both Cerner/Epic,In Progress,Design,,Brenda Downs,Acute Institute &  Cardiology,,,,,,1,0.5,1,7.5,3.75,Yes,✓ Complete
Yvette,"Neonatal titration parameters, concentrations","Standardization of concentrations, mixtures, and parameters. To be implemented in Cerner and Epic Gold",Co-Owner,L - 5-10 hrs/wk,,System Initiative,Both Cerner/Epic,In Progress,Discovery/Define,,Karen McConnell,Pharmacy & Oncology,,,,,,1,1,0.3,7.5,2.25,Yes,✓ Complete
Yvette,Pediatric titration parameters & concentrations for Epic Gold,"Standardization of concentrations, mixtures, and parameters. To be implemented in Epic Gold (parameters previously implemented in Cerner)",Co-Owner,L - 5-10 hrs/wk,,System Initiative,Epic,In Progress,Discovery/Define,,Karen McConnell,Pharmacy & Oncology,,,,,,1,1,0.3,7.5,2.25,Yes,✓ Complete
Yvette,ALM 2084 pregnancy alert,Rule that drives medications contraindicated in pregnancy to alert providers,Secondary,L - 5-10 hrs/wk,,,Cerner,In Progress,Did we Deliver,,Quality,Pharmacy & Oncology,,,,,,0.5,0,0.25,7.5,0,Yes,⚠️ Missing Work Type
Yvette,Oncology Clinical Institute EHR Liaison,,Owner,S - 1-2 hrs/wk,,,Both Cerner/Epic,In Progress,,,OCI,Pharmacy & Oncology,,,,,,1,0,0,1.5,0,Yes,⚠️ Missing Work Type
Yvette,Pharmacy Regional CI support,,Co-Owner,M - 2-5 hrs/wk,,,Cerner,In Progress,,,Boomie Harvey,Pharmacy & Oncology,,,,,,1,0,0,3.5,0,Yes,⚠️ Missing Work Type
